"","Id","Threshold-Estimated"
"1",1,0.773557483118241
"2",2,NA
"3",3,0.995237318726023
"4",4,0.517275322487443
"5",5,0.838332448314034
"6",6,0.933268469550459
"7",7,0.77731739353311
"8",8,0.937516362418845
"9",9,0.989946355132757
"10",10,0.987629546029208
"11",11,0.97489108207809
"12",12,0.911229108013307
"13",13,0.994638000089555
"14",14,0.985017358575008
"15",15,0.997972669443025
"16",16,0.969466506307279
"17",17,0.978264568146406
"18",18,0.800264961843131
"19",19,0.974137274174826
"20",20,0.831668917214945
"21",21,0.961115056173529
"22",22,0.897787696752482
"23",23,0.935053514517329
"24",24,0.845223759226899
"25",25,0.981628850105371
"26",26,0.984649298252785
"27",27,0.978511570474968
"28",28,0.766731263449843
"29",29,0.828393046083251
"30",30,0.96699669689465
"31",31,0.990211775789104
"32",32,0.970820080945162
"33",33,0.990179563086762
"34",34,0.990707120015232
"35",35,NA
"36",36,0.98658697690894
"37",37,0.978913748701068
"38",38,0.951304140999008
"39",39,0.986050362474018
"40",40,0.929108046006986
"41",41,0.998174470772126
"42",42,0.853994566473786
"43",43,0.982523189244101
"44",44,0.673615472300857
"45",45,0.915652669010105
"46",46,0.967004646628167
"47",47,0.935582751262147
"48",48,0.989163560383601
"49",49,0.986609666485954
"50",50,0.892092188070125
"51",51,0.904517777961645
"52",52,0.85891876661318
"53",53,0.997180193699206
"54",54,0.937642568130767
"55",55,0.992350958442459
"56",56,0.964864440224231
"57",57,0.976208712310726
"58",58,0.966450789854563
"59",59,0.859382606019773
"60",60,0.90402677857638
"61",61,0.993211748500329
