"","Id","Threshold-Estimated"
"1",1,0.951931644392672
"2",2,0.74361371287089
"3",3,0.743747746677401
"4",4,0.815287098298791
"5",5,0.780557589407041
"6",6,0.785376559377998
"7",7,0.771212687334604
"8",8,0.945302440146884
"9",9,0.951242422242608
"10",10,0.496189573287688
"11",11,0.879361426000423
"12",12,0.754765300093315
"13",13,0.582897613208093
"14",14,0.876994329858751
"15",15,0.780616951734596
"16",16,0.865645946507375
"17",17,0.749642091792472
"18",18,0.500904131958184
"19",19,0.863203810331257
"20",20,0.668431381259911
"21",21,0.885116290162392
"22",22,0.936220824814682
"23",23,0.801174118543674
"24",24,0.731130539108976
"25",25,0.838793978375264
"26",26,0.702605079568338
"27",27,0.508514223142821
"28",28,0.777133495607164
"29",29,0.765557074943242
"30",30,0.70011704169979
"31",31,0.675659722828058
"32",32,0.806281267363544
"33",33,0.643318477747283
"34",34,0.746052880396108
"35",35,0.835922540167106
"36",36,0.726708214877723
"37",37,0.825486367439093
"38",38,0.804840610506585
"39",39,0.810482233943702
"40",40,0.787130669549669
"41",41,0.903013005837722
"42",42,0.565759286371938
"43",43,0.979216135325535
"44",44,0.732450872930206
"45",45,0.80180588249249
"46",46,0.864516637490422
"47",47,0.870639579201013
"48",48,0.917945503174024
"49",49,0.872613519918715
"50",50,0.795075181887301
"51",51,0.836088714156689
"52",52,0.721743170734681
"53",53,NA
"54",54,0.500066675556741
"55",55,0.859995340124142
"56",56,0.972960706764296
"57",57,0.985295330025911
"58",58,0.971773045625095
"59",59,0.901688758359346
"60",60,0.806907698157709
"61",61,0.875847710009213
