"","Alarmed","AlarmedFrom","Self-Exitation","Time"
"1",14,14,1,2
"2",53,33,0,2
"3",57,33,0,10
"4",25,33,0,13
"5",36,33,0,15
"6",56,33,0,21
"7",22,33,0,22
"8",18,18,1,45
"9",19,18,0,48
"10",40,40,1,50
"11",8,8,1,83
"12",11,11,1,96
