"","Id","Threshold-Estimated"
"1",1,0.792555241983028
"2",2,0.846587541439684
"3",3,0.84374002930424
"4",4,0.862110622881984
"5",5,0.922961917697449
"6",6,0.975455277818407
"7",7,NA
"8",8,0.882294808873449
"9",9,0.626544508449362
"10",10,0.890405447524674
"11",11,0.94973736714779
"12",12,0.843199504419638
"13",13,0.901889729949726
"14",14,NA
"15",15,0.974580993613669
"16",16,0.986080709381782
"17",17,0.757880775874359
"18",18,0.996945372394991
"19",19,0.964001851232837
"20",20,0.873850027593895
"21",21,0.994130350713748
"22",22,0.894691999063095
"23",23,0.893988472384525
"24",24,0.871477680636823
"25",25,0.915265637430183
"26",26,0.96454387168873
"27",27,0.953462821233679
"28",28,0.917127206523297
"29",29,0.842956437368062
"30",30,0.932902553831378
"31",31,0.878599254017149
"32",32,0.733321433220902
"33",33,0.92065073734238
"34",34,0.959390130693954
"35",35,0.752643388367044
"36",36,0.923196051455884
"37",37,0.965045411076623
"38",38,0.913884600170875
"39",39,0.92253686572776
"40",40,0.944842522632195
"41",41,0.872217796077093
"42",42,0.969528146520584
"43",43,0.905368567326553
"44",44,0.97412490957195
"45",45,0.951916368024438
"46",46,0.740533918027715
"47",47,0.889416153472276
"48",48,0.884306535065938
"49",49,0.871943365817008
"50",50,0.911416537520106
"51",51,0.860387338901289
"52",52,0.984261595272615
"53",53,0.496828765665774
"54",54,0.884393414214846
"55",55,0.744775703910247
"56",56,0.861665539798356
"57",57,0.748584613505645
"58",58,0.731118618146572
"59",59,0.923929419287981
"60",60,0.952950857132484
"61",61,0.929237991958383
"62",62,0.862125981862555
