"","Alarmed","AlarmedFrom","Self-Exitation","Time"
"1",2,1,0,2
"2",35,42,0,2
"3",4,1,0,3
"4",44,35,0,7
"5",7,1,0,8
"6",24,42,0,44
"7",50,50,1,79
"8",39,39,1,84
"9",5,5,1,85
