"","Id","Threshold-Estimated"
"1",1,0.760643332878688
"2",2,0.854843116346638
"3",3,0.987937805919637
"4",4,0.960988548560586
"5",5,0.96159981422202
"6",6,0.909689612620102
"7",7,0.965406016201268
"8",8,0.840224484328831
"9",9,0.956822588363869
"10",10,0.887753341329793
"11",11,0.769219387402334
"12",12,0.809315019328366
"13",13,0.957080713093995
"14",14,NA
"15",15,0.822049544412173
"16",16,0.853245014039043
"17",17,0.967719025481049
"18",18,0.839927410389901
"19",19,0.883174313231455
"20",20,0.912351496570629
"21",21,0.99210703381742
"22",22,0.734575719436728
"23",23,0.837981376383188
"24",24,0.997888100836988
"25",25,0.850725711077366
"26",26,0.925617562865775
"27",27,0.915266494178035
"28",28,0.964358056689268
"29",29,0.913619165710767
"30",30,0.889200121693892
"31",31,0.969041408813957
"32",32,0.990570318147998
"33",33,0.892601956894053
"34",34,0.836477934497225
"35",35,0.96501257471285
"36",36,0.792066476184984
"37",37,0.992498760801963
"38",38,0.991544219257248
"39",39,0.987011615952835
"40",40,0.723461877330536
"41",41,0.927071494987959
"42",42,0.928690713403455
"43",43,0.940416426182677
"44",44,0.906010120237683
"45",45,0.931141190012946
"46",46,0.996875483623741
"47",47,0.972270310516596
"48",48,0.965066795850292
"49",49,0.978401404120948
"50",50,0.922707178138613
"51",51,0.888691924350497
"52",52,0.945811043490291
"53",53,0.524356833465985
"54",54,0.94046211195755
"55",55,0.841167826442006
"56",56,0.846502622798143
"57",57,0.672853405661383
"58",58,0.824510739351077
"59",59,0.99313763635695
"60",60,0.916699753408096
"61",61,0.994192388125497
"62",62,0.991373982660202
