"","Alarmed","AlarmedFrom","Self-Exitation","Time"
"1",14,19,0,1
"2",53,51,0,1
"3",9,53,0,2
"4",40,17,0,2
"5",58,53,0,3
"6",52,52,1,5
"7",7,7,1,9
"8",59,9,0,9
"9",57,7,0,11
"10",46,46,1,30
"11",30,30,1,35
"12",42,42,1,35
"13",62,62,1,50
"14",32,32,1,67
"15",1,1,1,68
"16",29,29,1,76
"17",35,35,1,87
"18",12,12,1,120
