Frames,Average Velocity,Standard deviation of velocity 
786,1.097919576,1.598935904
787,1.103695693,1.611374869
788,1.080979546,1.562488112
789,1.10186422,1.51669204
790,1.071053713,1.520418912
791,1.095098913,1.459116238
792,0.956716872,1.349090686
793,0.856558,1.1533781
794,0.757529649,0.986287373
795,0.748098709,0.917756583
796,0.713339304,0.984767963
797,0.771461891,1.090186305
798,0.710300525,1.187209774
799,0.777587376,1.252462826
800,0.887763134,1.306795796
801,0.856662023,1.318440654
802,0.902785486,1.261197418
803,0.825039045,1.148745199
804,0.785800091,1.029709299
805,0.743008841,0.988390471
806,0.628915904,0.956423977
807,0.602529435,0.922278244
808,0.680059174,0.872516292
809,0.753880935,0.868261661
810,0.714577013,0.92964679
811,0.666345913,1.015538724
812,0.727303522,0.994886974
813,0.752469413,0.92696935
814,0.83957863,0.917896934
815,0.834631522,0.922365328
816,0.831345326,0.952567493
817,0.859304278,1.018191602
818,0.866735196,1.126770794
819,0.880347087,1.265107765
820,0.857776196,1.361572032
821,0.777630681,1.375528778
822,0.772513532,1.222907664
823,0.729104085,1.065317132
824,0.752473191,1.021014997
825,0.791825974,1.169872414
826,0.913210553,1.330910627
827,0.947740383,1.405491605
828,0.884178681,1.390066206
829,0.746789708,1.334959175
830,0.730587306,1.253821349
831,0.748777398,1.15660826
832,0.855089722,1.117733223
833,0.944764494,1.157326694
834,1.037115448,1.218081573
835,1.145741698,1.230611665
836,1.134045822,1.293799555
837,1.142137886,1.318126616
838,1.048151496,1.366892213
839,1.075114922,1.332518855
840,1.023608654,1.331757125
841,1.093353596,1.228415113
842,1.083235346,1.172950473
843,1.035548923,1.18838833
844,1.056732942,1.227240955
845,1.100594231,1.282141399
846,1.066723075,1.338053718
847,1.060600453,1.294805105
848,1.008663,1.263028165
849,1.010005755,1.240210226
850,0.921488569,1.167287613
851,0.952265608,1.253953941
852,0.964282376,1.323329689
853,0.9594122,1.328635415
854,0.98595742,1.323867901
855,1.0052872,1.370372212
856,0.913735092,1.46316662
857,0.995875811,1.500108276
858,1.118578208,1.497250706
859,1.137839566,1.641674057
860,1.210086811,1.905051837
861,1.315693817,2.121032045
862,1.422904387,2.18526896
863,1.433078604,2.11502846
864,1.368087774,1.99498204
865,1.25796066,1.894415352
866,1.199903747,1.766556655
867,1.210804321,1.600519906
868,1.119060849,1.48995364
869,1.083416511,1.412981899
870,1.043885257,1.382722636
871,1.047980679,1.360073619
872,0.977385887,1.383110852
873,0.957219481,1.424109592
874,0.921754464,1.46572489
875,0.965740585,1.430326457
876,0.982475321,1.3405706
877,0.960478736,1.215510163
878,0.924212943,1.118520133
879,0.89027893,1.078594627
880,0.877406528,1.07774779
881,0.88309183,1.097580294
882,0.90202066,1.091608243
883,0.862818868,1.041666645
884,0.793358221,1.027790807
885,0.812210292,1.089807173
886,0.889441577,1.131402119
887,0.840093788,1.199903578
888,0.942857712,1.30742349
889,1.065500019,1.479696619
890,1.143965588,1.514149818
891,1.101290325,1.431644172
892,1.071085673,1.342328728
893,0.989190865,1.316415721
894,0.975193865,1.234235765
895,0.914746698,1.139690864
896,0.861203245,1.042559757
897,0.773120023,1.073010288
898,0.849579385,1.142498579
899,0.938731827,1.29826994
900,0.997388519,1.453906542
901,1.105900308,1.520798542
902,1.080458333,1.541428362
903,1.016559327,1.603696505
904,1.036074788,1.589000029
905,1.0245874,1.539684384
906,1.026103673,1.487241343
907,1.10539371,1.437402366
908,1.14443169,1.433599154
909,1.130886315,1.444259777
910,1.13520839,1.453581856
911,1.077584992,1.544751381
912,1.19370803,1.610097041
913,1.197126668,1.730972296
914,1.177384411,1.798386417
915,1.188664192,1.770946307
916,1.115860571,1.742339368
917,1.069819929,1.687584652
918,1.018420941,1.611028746
919,0.920331115,1.529587476
920,0.872603242,1.431522755
921,0.898605192,1.408144712
922,1.023681904,1.433924992
923,1.033530346,1.49281728
924,1.044888038,1.515674895
925,1.027083823,1.50741251
926,0.990802423,1.461196246
927,0.974010673,1.356680035
928,0.943038865,1.245839076
929,0.908531096,1.200198284
930,0.934845038,1.232792495
931,0.92628302,1.207405992
932,0.983288846,1.283023299
933,1.125832288,1.295091305
934,1.100973385,1.285627026
935,1.065894423,1.316896851
936,1.034272548,1.429855109
937,1.026354365,1.536720383
938,1.040868346,1.559502122
939,1.054806538,1.545821534
940,1.034929038,1.560098
941,1.0618671,1.56964523
942,1.052773137,1.570666456
943,1.061644,1.551166612
944,1.02906575,1.495226128
945,0.971835385,1.418962994
946,0.98357298,1.371327217
947,1.046322608,1.377690159
948,1.13460408,1.463915373
949,1.222145642,1.604918041
950,1.276911571,1.764735615
951,1.297108531,1.82863946
952,1.268521102,1.767607943
953,1.1681142,1.618555736
954,1.109623262,1.425717908
955,0.98243405,1.353760605
956,0.965491528,1.380085254
957,1.019469318,1.466917167
958,1.130168754,1.539827537
959,1.18549297,1.616508054
960,1.25209552,1.685030427
961,1.29356572,1.69819294
962,1.258873608,1.659014237
963,1.32001849,1.629690447
964,1.346119816,1.654976108
965,1.303470969,1.623680763
966,1.265281128,1.555205067
967,1.275853489,1.446818443
968,1.256000349,1.326259976
969,1.173301532,1.290947755
970,1.140246019,1.333196134
971,1.214434806,1.39921077
972,1.219012447,1.522216133
973,1.284924126,1.616680209
974,1.333818574,1.703590449
975,1.320570723,1.738224375
976,1.208625406,1.666086097
977,1.07686461,1.497290294
978,1.018948725,1.326209671
979,1.040501975,1.25351622
980,1.042719788,1.233579457
981,1.019736083,1.202841458
982,1.047654417,1.140741837
983,1.068168,1.155659907
984,1.104626208,1.285766231
985,1.187344792,1.443325423
986,1.267046769,1.573861232
987,1.236112354,1.679532879
988,1.184547073,1.720551744
989,1.237782673,1.68620236
990,1.271513245,1.620021979
991,1.251146286,1.538022885
992,1.22894991,1.412339862
