Frames,Average Velocity,Standard deviation of velocity 
1,0.389979714,0.752053563
2,0.459272037,0.843468937
3,0.717523391,1.25063391
4,0.774515043,1.31655404
5,0.900963203,1.390196835
6,0.789206831,1.250077869
7,0.719176792,1.145609315
8,0.643504775,1.041491082
9,0.557926719,0.883199918
10,0.480483623,0.905900817
11,0.503594771,0.881032931
12,0.563451882,0.902165118
13,0.535162555,0.952954642
14,0.529578279,0.91598658
15,0.621342327,1.069064257
16,0.602531804,1.096169326
17,0.641743666,1.059858886
18,0.612504274,1.078043829
19,0.611766895,0.93289998
20,0.652318405,0.90461837
21,0.645352563,0.930053533
22,0.611164434,0.805162728
23,0.510161685,0.796345904
24,0.548299063,0.831553131
25,0.569752133,0.730635975
26,0.537080449,0.672788718
27,0.56559085,0.829145595
28,0.511548754,0.754626359
29,0.570792002,0.867294532
30,0.52634116,0.785544651
31,0.559486175,0.856507255
32,0.5783722,0.908693162
33,0.626498228,0.97913125
34,0.599921264,0.931736052
35,0.720039076,1.044206401
36,0.614740897,0.891518177
37,0.668373011,1.027644677
38,0.69674202,1.052361697
39,0.671377369,1.051686313
40,0.628022044,1.08990073
41,0.567082913,1.024032088
42,0.576150111,1.103570645
43,0.513783056,1.062125373
44,0.596546151,0.952349621
45,0.623247957,1.031407247
46,0.581598849,1.075576552
47,0.693599442,1.214407891
48,0.655482638,1.2027136
49,0.593528358,1.050700272
50,0.612460721,1.144170383
51,0.547337436,1.12880668
52,0.615615954,0.987712531
53,0.585550102,0.960725287
54,0.527659078,1.04788418
55,0.539869553,1.004097336
56,0.647021056,1.022498394
57,0.63711228,1.026001065
58,0.653140285,1.136897543
59,0.639847324,1.105069564
60,0.629203073,1.183601175
61,0.647567766,1.130281132
62,0.607036205,1.047625113
63,0.720948098,1.181489938
64,0.772308432,1.304145049
65,0.875425506,1.30000917
66,0.817129141,1.230329756
67,0.838122448,1.403885396
68,0.884927478,1.350006779
69,0.929046052,1.35872255
70,0.814609606,1.240276507
71,0.826291756,1.264457293
72,0.798146976,1.358599396
73,0.836945636,1.279316591
74,0.871892574,1.34710997
75,0.842904806,1.228342805
76,0.882966136,1.229145172
77,0.899699468,1.262225078
78,0.761817628,1.152708623
79,0.849810932,1.175776169
80,0.783768627,1.172026121
81,0.813328098,1.090211827
82,0.735897586,1.090106358
83,0.813309,1.292405619
84,0.917657373,1.2665546
85,0.85689402,1.427097648
86,0.967512373,1.432525552
87,0.966525863,1.469551364
88,0.920446882,1.415542261
89,0.964883216,1.422893829
90,0.87738102,1.372519648
91,0.650086608,1.100181682
92,0.724585002,1.222458356
93,0.73503279,1.163417782
94,0.810165137,1.126532892
95,0.659974196,1.145517267
96,0.683080788,1.092983513
97,0.629529449,1.010400556
98,0.727484216,1.005460234
99,0.624039137,0.968951459
100,0.653427608,0.904729779
101,0.747553541,0.957372498
102,0.592768294,0.934713032
103,0.669985955,0.898214042
104,0.575758137,0.898348955
105,0.540424982,0.793786583
106,0.551548488,0.750714298
107,0.635619402,0.753787583
108,0.530078529,0.681243558
109,0.567046059,0.653691831
110,0.58792249,0.836845336
111,0.54957468,0.749115277
112,0.577302764,0.884713111
113,0.501248773,0.794055713
114,0.641960431,0.856824286
115,0.551956114,0.76897855
116,0.640403761,0.865490523
117,0.631323598,0.955865151
118,0.679731,1.121601626
119,0.72678358,1.101815274
120,0.702120131,1.168494342
121,0.654808333,1.020105718
122,0.666218553,1.017657744
123,0.667998333,1.02494544
124,0.663234573,1.048702268
125,0.658268118,0.99079593
126,0.720717294,1.025208205
127,0.662745216,1.00178226
128,0.766186431,1.197362346
129,0.702854941,1.105364888
130,0.728766725,1.108252684
131,0.697127686,1.182383016
132,0.594426484,1.025592053
133,0.658523843,1.067809812
